protein_id,name,ex_max,em_max,qy,stokes_shift,ext_coeff,brightness,chrom_found,chrom_position,chrom_phi_tyr,chrom_psi_tyr,chrom_chi1_tyr,chrom_ring_planarity,chrom_plddt_mean,chrom_plddt_min,env_n_neighbors,env_n_hydrophobic,env_n_polar,env_n_charged_pos,env_n_charged_neg,env_n_aromatic,env_ratio_hydrophobic,env_ratio_polar,env_net_charge,env_plddt_mean,glob_n_residues,glob_n_atoms,glob_radius_gyration,glob_extent_x,glob_extent_y,glob_extent_z,glob_plddt_mean,glob_plddt_std,glob_plddt_min,glob_frac_plddt_70,glob_frac_plddt_90,seq_freq_A,seq_freq_C,seq_freq_D,seq_freq_E,seq_freq_F,seq_freq_G,seq_freq_H,seq_freq_I,seq_freq_K,seq_freq_L,seq_freq_M,seq_freq_N,seq_freq_P,seq_freq_Q,seq_freq_R,seq_freq_S,seq_freq_T,seq_freq_V,seq_freq_W,seq_freq_Y,seq_frac_hydrophobic,seq_frac_polar,seq_frac_aromatic,seq_length,seq_gravy
10b,10B,513,525,,12,30800.0,,1,38.0,113.87633299409727,1.7252656275411937,58.967581320995635,0.001590236148149582,95.60333333333334,94.62,4.0,1.0,0.0,2.0,1.0,0.0,0.25,0.0,1.0,97.485,238,1894,17.629416740937415,53.188,46.04600000000001,61.328,95.21676470588235,8.326651553145107,47.84,0.9621848739495799,0.9285714285714286,0.037815126050420166,0.008403361344537815,0.07563025210084033,0.06722689075630252,0.05042016806722689,0.09663865546218488,0.04201680672268908,0.05042016806722689,0.08403361344537816,0.08403361344537816,0.025210084033613446,0.0546218487394958,0.04201680672268908,0.03361344537815126,0.025210084033613446,0.037815126050420166,0.058823529411764705,0.07142857142857142,0.004201680672268907,0.05042016806722689,0.36554621848739494,0.24369747899159663,0.14705882352941177,238,-0.5067226890756303
11,11,502,512,,10,33000.0,,1,38.0,116.76367341928042,1.879901524607882,57.65777613789801,0.0012428237304537531,94.96,93.80999999999999,4.0,1.0,0.0,2.0,1.0,0.0,0.25,0.0,1.0,97.2475,238,1899,17.58489009999433,51.235,41.92100000000001,63.265,94.21453781512604,10.350773871762842,39.47,0.957983193277311,0.9159663865546218,0.037815126050420166,0.008403361344537815,0.07563025210084033,0.06722689075630252,0.0546218487394958,0.09663865546218488,0.04201680672268908,0.05042016806722689,0.08403361344537816,0.07983193277310924,0.025210084033613446,0.0546218487394958,0.04201680672268908,0.03361344537815126,0.025210084033613446,0.037815126050420166,0.058823529411764705,0.07142857142857142,0.008403361344537815,0.046218487394957986,0.3697478991596639,0.23949579831932774,0.15126050420168066,238,-0.5092436974789919
5b,5B,512,524,,12,19400.0,,1,38.0,113.8386707158115,1.557886925438547,59.74214522688572,0.0012560345678980696,95.85333333333334,94.81000000000002,4.0,1.0,0.0,2.0,1.0,0.0,0.25,0.0,1.0,97.595,238,1899,17.628793542796878,53.438,46.766,62.453,95.25348739495799,8.478717896345385,46.47,0.9621848739495799,0.9243697478991597,0.03361344537815126,0.008403361344537815,0.07563025210084033,0.06722689075630252,0.0546218487394958,0.09243697478991597,0.046218487394957986,0.05042016806722689,0.08403361344537816,0.07983193277310924,0.025210084033613446,0.0546218487394958,0.04201680672268908,0.03361344537815126,0.025210084033613446,0.04201680672268908,0.06302521008403361,0.07142857142857142,0.004201680672268907,0.046218487394957986,0.36134453781512604,0.24789915966386555,0.15126050420168066,238,-0.5310924369747901
a44-kr,A44-KR,397,520,,123,,,1,65.0,140.18636602525908,-57.717594003441896,144.6351193731435,0.00030744646263507387,75.91666666666667,68.75,5.0,1.0,1.0,1.0,2.0,1.0,0.2,0.2,-1.0,96.362,237,1850,18.371855826210517,46.358999999999995,56.718999999999994,54.703,94.31940928270042,8.942665504072023,41.31,0.9662447257383966,0.9029535864978903,0.05485232067510549,0.02531645569620253,0.08438818565400844,0.05063291139240506,0.0759493670886076,0.08860759493670886,0.05063291139240506,0.07172995780590717,0.03375527426160337,0.0379746835443038,0.04219409282700422,0.029535864978902954,0.06329113924050633,0.0379746835443038,0.046413502109704644,0.05907172995780591,0.07172995780590717,0.05485232067510549,0.004219409282700422,0.016877637130801686,0.4050632911392405,0.24050632911392406,0.14767932489451477,237,-0.31898734177215204
aausfp1,AausFP1,504,510,0.97,6,170000.0,164.9,1,2.0,33.21352201873103,24.159443686073846,78.933326570276,0.0023206201746697372,69.52,64.44,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,64.64,232,1810,16.956863405257252,54.593999999999994,46.016000000000005,52.375,95.20198275862067,6.355183293136235,52.59,0.978448275862069,0.9094827586206896,0.05603448275862069,0.021551724137931036,0.04741379310344827,0.0603448275862069,0.034482758620689655,0.10344827586206896,0.03879310344827586,0.07758620689655173,0.07327586206896551,0.04741379310344827,0.021551724137931036,0.05603448275862069,0.05172413793103448,0.03017241379310345,0.03017241379310345,0.03879310344827586,0.06465517241379311,0.08189655172413793,0.004310344827586207,0.0603448275862069,0.375,0.27155172413793105,0.13793103448275862,232,-0.3418103448275863
aausfp4,AausFP4,477,513,,36,69000.0,,1,65.0,73.03240142640261,-17.229663643287033,145.61670685508935,0.0005139748161583465,77.68666666666667,70.62,5.0,3.0,1.0,0.0,1.0,1.0,0.6,0.2,-1.0,91.1,232,1799,16.91498349651321,51.36,35.578,56.141,93.37025862068967,7.212349975874344,46.84,0.978448275862069,0.853448275862069,0.0603448275862069,0.017241379310344827,0.04741379310344827,0.07327586206896551,0.05603448275862069,0.09913793103448276,0.02586206896551724,0.07327586206896551,0.0603448275862069,0.07327586206896551,0.02586206896551724,0.05603448275862069,0.03017241379310345,0.03017241379310345,0.03879310344827586,0.05172413793103448,0.07758620689655173,0.06896551724137931,0.004310344827586207,0.03017241379310345,0.3922413793103448,0.2629310344827586,0.11637931034482758,232,-0.18793103448275872
aausgfp,AausGFP,398,503,0.73,105,29000.0,21.17,1,68.0,86.6830464884422,4.827179671741384,77.74620293813601,0.0001894030950520663,87.62333333333333,84.31,6.0,3.0,2.0,1.0,0.0,1.0,0.5,0.3333333333333333,1.0,95.85333333333334,241,1930,17.7026218665908,59.0,39.969,48.578,93.28946058091287,11.84272682059336,36.91,0.941908713692946,0.8962655601659751,0.03734439834024896,0.012448132780082987,0.05394190871369295,0.07883817427385892,0.05394190871369295,0.0954356846473029,0.04979253112033195,0.04979253112033195,0.07883817427385892,0.07468879668049792,0.04149377593360996,0.04564315352697095,0.04149377593360996,0.029045643153526972,0.03319502074688797,0.03319502074688797,0.07883817427385892,0.058091286307053944,0.004149377593360996,0.04979253112033195,0.36099585062240663,0.24896265560165975,0.15767634854771784,241,-0.5170124481327802
acegfp-g222e-y220l,aceGFP-G222E-Y220L,396,508,,112,,,1,65.0,84.92555615162564,0.2888810006748531,82.12953730355457,0.000628329181860398,88.73,83.88,6.0,3.0,2.0,1.0,0.0,0.0,0.5,0.3333333333333333,1.0,96.815,238,1887,17.53833296101252,61.922,39.937,51.656,95.11861344537813,8.41237594772545,45.28,0.957983193277311,0.9243697478991597,0.046218487394957986,0.008403361344537815,0.07142857142857142,0.06722689075630252,0.0546218487394958,0.08823529411764706,0.037815126050420166,0.06302521008403361,0.07563025210084033,0.07563025210084033,0.029411764705882353,0.06302521008403361,0.04201680672268908,0.029411764705882353,0.025210084033613446,0.046218487394957986,0.07142857142857142,0.0546218487394958,0.004201680672268907,0.046218487394957986,0.3697478991596639,0.2647058823529412,0.14285714285714285,238,-0.478151260504202
acegfp-h,aceGFP-h,390,505,,115,,,1,64.0,87.26827895961031,4.508823428868689,81.8785643615029,0.0004140326318881247,84.85666666666667,79.44,6.0,3.0,2.0,1.0,0.0,0.0,0.5,0.3333333333333333,1.0,95.085,237,1878,17.548384215801075,51.656,39.484,64.438,93.8408016877637,10.282105784191131,39.59,0.9578059071729957,0.8945147679324894,0.046413502109704644,0.008438818565400843,0.07172995780590717,0.06329113924050633,0.05485232067510549,0.09282700421940929,0.0379746835443038,0.06329113924050633,0.0759493670886076,0.07172995780590717,0.02531645569620253,0.06329113924050633,0.04219409282700422,0.029535864978902954,0.02531645569620253,0.046413502109704644,0.07172995780590717,0.05485232067510549,0.004219409282700422,0.05063291139240506,0.3628691983122363,0.270042194092827,0.14767932489451477,237,-0.49662447257384007
acgfp1,AcGFP1,475,505,0.55,30,50000.0,27.5,1,66.0,87.47697515431594,-4.521816831992077,81.62985273165005,0.00027834126035051153,88.33333333333333,85.5,6.0,3.0,2.0,1.0,0.0,0.0,0.5,0.3333333333333333,1.0,96.28000000000002,239,1893,17.574032082458068,50.657,37.891,64.23400000000001,94.19133891213389,9.981622898950553,41.59,0.9581589958158996,0.899581589958159,0.04602510460251046,0.008368200836820083,0.07112970711297072,0.06276150627615062,0.05439330543933055,0.09205020920502092,0.03765690376569038,0.06276150627615062,0.07531380753138076,0.07112970711297072,0.029288702928870293,0.06276150627615062,0.04184100418410042,0.029288702928870293,0.02510460251046025,0.04602510460251046,0.07112970711297072,0.058577405857740586,0.0041841004184100415,0.0502092050209205,0.3682008368200837,0.26778242677824265,0.14644351464435146,239,-0.4669456066945609
achilles,Achilles,513,525,0.64,12,110000.0,70.4,1,66.0,92.41726940515207,2.972993387835014,82.16677381801662,0.00024764236225434264,91.58333333333333,89.75,6.0,3.0,2.0,1.0,0.0,1.0,0.5,0.3333333333333333,1.0,96.82166666666666,239,1889,17.721725064196164,56.656,46.156000000000006,47.219,94.63380753138075,9.040309922471497,44.53,0.9581589958158996,0.9121338912133892,0.04184100418410042,0.0041841004184100415,0.07112970711297072,0.06694560669456066,0.05439330543933055,0.10460251046025104,0.03765690376569038,0.0502092050209205,0.08368200836820083,0.09623430962343096,0.02092050209205021,0.05439330543933055,0.04184100418410042,0.029288702928870293,0.029288702928870293,0.03347280334728033,0.06276150627615062,0.07112970711297072,0.0041841004184100415,0.04184100418410042,0.3807531380753138,0.22594142259414227,0.13807531380753138,239,-0.42426778242677843
adred-c148s,AdRed-C148S,560,599,,39,,,1,66.0,53.9780254183882,23.696158506423693,-175.1323167678887,0.00038308211640915795,77.89666666666666,72.38,6.0,2.0,2.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.0,89.65833333333335,231,1827,17.11498856645045,49.625,43.406,49.375,93.82030303030304,7.907038313207266,37.34,0.974025974025974,0.8874458874458875,0.05627705627705628,0.030303030303030304,0.06493506493506493,0.05627705627705628,0.05627705627705628,0.08225108225108226,0.03463203463203463,0.03896103896103896,0.08225108225108226,0.06060606060606061,0.03896103896103896,0.03463203463203463,0.05194805194805195,0.03463203463203463,0.03896103896103896,0.06493506493506493,0.05194805194805195,0.06926406926406926,0.017316017316017316,0.03463203463203463,0.38961038961038963,0.2510822510822511,0.14285714285714285,231,-0.43333333333333335
afcfp,afCFP,406,499,0.79,93,30000.0,23.7,1,63.0,42.19380454904692,19.10649212951421,-177.11071528590097,0.00015053123949984828,82.66666666666667,76.31,7.0,2.0,3.0,1.0,1.0,1.0,0.2857142857142857,0.42857142857142855,0.0,93.60714285714286,226,1806,17.144192334873587,60.75,39.953,49.875,95.75061946902656,5.854872002437858,49.12,0.9867256637168141,0.9336283185840708,0.05309734513274336,0.022123893805309734,0.07079646017699115,0.07079646017699115,0.04424778761061947,0.07964601769911504,0.02654867256637168,0.05309734513274336,0.08849557522123894,0.061946902654867256,0.03982300884955752,0.048672566371681415,0.05309734513274336,0.030973451327433628,0.03982300884955752,0.03982300884955752,0.05752212389380531,0.05752212389380531,0.008849557522123894,0.05309734513274336,0.37168141592920356,0.252212389380531,0.13274336283185842,226,-0.5831858407079649
